partido_nombre,candidato_nombre
CONSEJO COMUNITARIO DE QUINAMAYO,LEUDIN HURTADO CAICEDO
CONSEJO COMUNITARIO DE QUINAMAYO,CARMEN ROSAURA ANCHICO MOSQUERA
CONSEJO LABORAL AFROCOLOMBIANO CLAF - BOGOTÁ,LUCY PILAR CALDERON GONZALEZ
CONSEJO LABORAL AFROCOLOMBIANO CLAF - BOGOTÁ,LUZ DEL ROSARIO PEÑA OSPINO
OEAPUN,JHORLYN ENRIQUE MENA MOSQUERA
OEAPUN,EVERLIDES ESTHER CHICA HERNANDEZ
OEAPUN,ALBERTO MARIANO SOTO TORRES
ASTECA,CRUZ EMILIA QUEJADA QUEJADA
ASTECA,JOSE SANTIAGO CASTAÑEDA VALENCIA
ASTECA,RAMON MARTINEZ CORDOBA
CONSEJO COMUNITARIO NEGROS UNIDOS,JONATHAN MICOLTA BERMUDEZ
CRISTIANOS POR COLOMBIA AFROS,NOHEMI SOLIS ROSENDO
CRISTIANOS POR COLOMBIA AFROS,CLAUDIA MARIA CEPEDA URRUTIA
CRISTIANOS POR COLOMBIA AFROS,FORLIN MANUEL LOPEZ PARRA
PARTIDO LIBERAL COLOMBIANO,JOSE OCTAVIO CARDONA LEON
PARTIDO LIBERAL COLOMBIANO,OSCAR ALONSO VARGAS JARAMILLO
PARTIDO LIBERAL COLOMBIANO,MARIANA GRAJALES JARAMILLO
PARTIDO LIBERAL COLOMBIANO,JORGE ARMANDO CARRERO PIMENTEL
PARTIDO LIBERAL COLOMBIANO,ANA GRACIELA HENAO HENAO
CENTRO DEMOCRÁTICO- PARTIDO DE LA U,JAIME ALONSO ZULUAGA ARISTIZABAL
CENTRO DEMOCRÁTICO- PARTIDO DE LA U,MATEO HIDALGO MONTOYA
CENTRO DEMOCRÁTICO- PARTIDO DE LA U,CAROLINA ESCOBAR RAMIREZ
CENTRO DEMOCRÁTICO- PARTIDO DE LA U,MARIA XIMENA GONZALEZ PELAEZ
CENTRO DEMOCRÁTICO- PARTIDO DE LA U,NOHEMY CECILIA CONSTAIN BETANCUR
"PARTIDO ALIANZA SOCIAL INDEPENDIENTE ""ASI""",CESAR AUGUSTO DIAZ ZAPATA
"PARTIDO ALIANZA SOCIAL INDEPENDIENTE ""ASI""",MANUEL ORLANDO CORREA BEDOYA
"PARTIDO ALIANZA SOCIAL INDEPENDIENTE ""ASI""",PAULA ANDREA TORO SANTANA
"PARTIDO ALIANZA SOCIAL INDEPENDIENTE ""ASI""",ANA CRISTINA JARAMILLO GUTIERREZ
"PARTIDO ALIANZA SOCIAL INDEPENDIENTE ""ASI""",FABIO DE JESUS MONCADA MELO
PARTIDO CONSERVADOR COLOMBIANO,JUAN MANUEL LONDOÑO JARAMILLO
PARTIDO CONSERVADOR COLOMBIANO,FELIX ALEJANDRO CHICA CORREA
PARTIDO CONSERVADOR COLOMBIANO,MARIA YULIANA GIRALDO CORREA
PARTIDO CONSERVADOR COLOMBIANO,JUAN ESTEBAN TEJADA RAMOS
PARTIDO CONSERVADOR COLOMBIANO,BEATRIZ AMPARO OCAMPO OCAMPO
AHORA COLOMBIA CALDAS,DANIELA ARBOLEDA RIOS
AHORA COLOMBIA CALDAS,MAURICIO LONDOÑO JARAMILLO
AHORA COLOMBIA CALDAS,JORGE ORLANDO GARCIA RESTREPO
AHORA COLOMBIA CALDAS,JUAN CARLOS JARAMILLO HERRERA
AHORA COLOMBIA CALDAS,JENNY MARCELA LANDAZURI GONZALEZ
PACTO HISTÓRICO ALIANZA VERDE,SANTIAGO OSORIO MARIN
PACTO HISTÓRICO ALIANZA VERDE,ERIKA MILENA MUÑOZ VILLARREAL
PACTO HISTÓRICO ALIANZA VERDE,ALVARO GARCIA VELASQUEZ
PACTO HISTÓRICO ALIANZA VERDE,NORA MILENA CONTENTO CASTAÑO
MOVIMIENTO SALVACIÓN NACIONAL,BRUNO EDUARDO SEIDEL ARANGO
MOVIMIENTO SALVACIÓN NACIONAL,LAURA CAMILA DONADO MAZO
MOVIMIENTO SALVACIÓN NACIONAL,JORGE ENRIQUE MOTOA SILVA
MOVIMIENTO SALVACIÓN NACIONAL,DORA VASCO DIAZ
MOVIMIENTO SALVACIÓN NACIONAL,DIEGO ALEJANDRO PAREJA RENDON
ALMA - CAMBIO RADICAL,CARLOS MARIO MARIN CORREA
ALMA - CAMBIO RADICAL,HECTOR ALBERTO GIRALDO QUINTERO
ALMA - CAMBIO RADICAL,MARIA ZENAIDA ARCILA HENCKER
ALMA - CAMBIO RADICAL,BRAYAN DAVID SALAZAR HERRERA
ALMA - CAMBIO RADICAL,MANUELA VALENCIA SALAZAR
FRENTE AMPLIO UNITARIO CALDAS,OMAR ARIEL DIAZ GUTIERREZ
FRENTE AMPLIO UNITARIO CALDAS,LUZ STELLA VALENCIA SALGADO
FRENTE AMPLIO UNITARIO CALDAS,POMPEYO JOSE PARADA SANABRIA
FRENTE AMPLIO UNITARIO CALDAS,SUSANA URREA RAMIREZ
FRENTE AMPLIO UNITARIO CALDAS,JORGE ABEL GAITAN LOPEZ
PARTIDO ECOLOGISTA COLOMBIANO,SANTIAGO CARMONA BOTERO
PARTIDO ECOLOGISTA COLOMBIANO,CARLOS ALBEIRO HIGUITA BOLIVAR
PARTIDO ECOLOGISTA COLOMBIANO,MARIA PAULA RODRIGUEZ CASTRILLON
"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",CRISTIAN CAMILO ROJAS JURADO
COALICIÓN CAQUETÁ,JUAN PABLO DUQUE GONZALEZ
COALICIÓN CAQUETÁ,JHON FREDY NUÑEZ RAMOS
COALICIÓN CAQUETÁ,YENY ADALID CHILATRA RIVERA
REVIVE CAQUETÁ 2.0,NELSON RICARDO MATIZ HERRERA
REVIVE CAQUETÁ 2.0,LEONARDO RAMON RAMIREZ
REVIVE CAQUETÁ 2.0,ANGGI CAROLINA QUIMBAYO MANRIQUE
PARTIDO LIBERAL COLOMBIANO,GILMA DIAZ ARIAS
PARTIDO LIBERAL COLOMBIANO,DURFAY MONTILLA VARGAS
PARTIDO LIBERAL COLOMBIANO,EDWARD ALEXANDER CORTES PUENTES
PACTO HISTÓRICO CAQUETÁ,RAMIRO ANDRES MENDOZA BARRAGAN
PACTO HISTÓRICO CAQUETÁ,ROSAURA CIRO RESTREPO
PACTO HISTÓRICO CAQUETÁ,EDINSON TEJADA ALEY
PARTIDO CENTRO DEMOCRÁTICO,EDILBERTO MOLINA HERNANDEZ
PARTIDO CENTRO DEMOCRÁTICO,GLORIA ESPERANZA FLECHAS DIAZ
PARTIDO CENTRO DEMOCRÁTICO,JUAN CARLOS SILVA ROJAS
"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",MANUEL JOAQUIN PUENTES MONTAÑA
"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",YOLANDA PEÑA CUELLAR
"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",REINALDO CAMPOS ALDANA
COALICIÓN FUERZA CIUDADANA,JHON FAIVER SANCHEZ LONGAS
COALICIÓN FUERZA CIUDADANA,ELINA MARCELA DONCEL VILLARUEL
COALICIÓN FUERZA CIUDADANA,HEYCENOVER CUELLAR POLANIA
PARTIDO POLÍTICO OXÍGENO,YULISA MARIA MERCADO SUAREZ
PARTIDO POLÍTICO OXÍGENO,FERNANDO LEYTON MORALES
PARTIDO POLÍTICO OXÍGENO,ISMAEL ENCINALES ROMERO
PARTIDO LIBERAL COLOMBIANO,FRANKY ALEXANDER VEGA MURCIA
PARTIDO LIBERAL COLOMBIANO,FLORA PERDOMO ANDRADE
PARTIDO LIBERAL COLOMBIANO,LUCY MIREYA BRAVO OBANDO
PARTIDO LIBERAL COLOMBIANO,RODRIGO AMAYA CULMA
PARTIDO CENTRO DEMOCRÁTICO,TATIANA PATRICIA MENDEZ RAMOS
PARTIDO CENTRO DEMOCRÁTICO,FELIX FELIPE TRUJILLO URIBE
PARTIDO CENTRO DEMOCRÁTICO,NORMA CONSTANZA CRUZ RIVERA
PARTIDO ALIANZA VERDE,NATALIA CAVIEDES CHINCHILLA
PARTIDO ALIANZA VERDE,DIANA LORENA MONJE ALBARRACIN
PARTIDO ALIANZA VERDE,SEBASTIAN CAMILO DURAN CORTES
PARTIDO ALIANZA VERDE,JUAN YAMID SANABRIA TRIANA
PARTIDO CAMBIO RADICAL,JULIO CESAR TRIANA QUINTERO
PARTIDO CAMBIO RADICAL,EDGAR MUÑOZ TORRES
PARTIDO CAMBIO RADICAL,SILVIA ALEXANDRA CASTAÑEDA PERDOMO
PARTIDO CAMBIO RADICAL,EDINSON AMIN LOSADA PERDOMO
PACTO HISTÓRICO HUILA,LOURDES PAOLA MATEUS SERRANO
PACTO HISTÓRICO HUILA,MAURO SAUL SANCHEZ ZAMBRANO
PACTO HISTÓRICO HUILA,YINA MARCELA SUAREZ CAMPOS
PACTO HISTÓRICO HUILA,AMBROCIO LOPEZ MELENDEZ
MOVIMIENTO SALVACIÓN NACIONAL,ANA MARIA RINCON HERRERA
MOVIMIENTO SALVACIÓN NACIONAL,MIGUEL HUMBERTO TELLEZ MURCIA
MOVIMIENTO SALVACIÓN NACIONAL,CESAR AUGUSTO RODRIGUEZ CELIS
MOVIMIENTO SALVACIÓN NACIONAL,SALOMON CUELLAR ANTURI
ALMA,MARIA FERNANDA DEL PILAR RAMIREZ MONTENEGRO
ALMA,JESUS ARIEL LISCANO DAZA
ALMA,HERNAN ARCINIEGAS GUZMAN
PARTIDO POLÍTICO MIRA,HECTOR MELO VICTORIA
PARTIDO POLÍTICO MIRA,NURY GUTIERREZ FERREIRA
FUERZA POR EL HUILA,JORGE ENRIQUE ALVARADO TOVAR
FUERZA POR EL HUILA,SANDRA MILENA NINCO GUTIERREZ
FUERZA POR EL HUILA,LUIS YESID VARGAS ESCARRAGA
FUERZA POR EL HUILA,RAUL RIVERA CORTES
PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,WILLIAM ALVIS PINZON
PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,OMAR ALFONSO TOBAR DIAZ
PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,JUAN CAMILO FORERO CARDENAS
